15	10	E	-9537865.365447113	142
emissionprobs	10	2	H3K27ME3	1	0.011737810380469942
emissionprobs	10	3	H3K36ME3	0	0.9611720936392336
emissionprobs	10	3	H3K36ME3	1	0.03882790636076646
emissionprobs	10	4	H3K4ME1	0	0.9084872574791452
emissionprobs	10	4	H3K4ME1	1	0.0915127425208549
emissionprobs	10	5	H3K4ME2	0	0.11341355396592087
emissionprobs	10	5	H3K4ME2	1	0.8865864460340791
emissionprobs	10	6	H3K79ME2	0	0.022479661257253484
emissionprobs	10	6	H3K79ME2	1	0.9775203387427466
emissionprobs	10	7	H3K9AC	0	0.027964686268427238
emissionprobs	10	7	H3K9AC	1	0.9720353137315727
emissionprobs	10	8	H3K9ME3	0	0.9734640417863989
emissionprobs	10	8	H3K9ME3	1	0.026535958213601028
emissionprobs	10	9	H4K20ME1	0	0.9641820009747809
emissionprobs	10	9	H4K20ME1	1	0.0358179990252191
emissionprobs	11	0	H2AFZ	0	0.5175084833413012
emissionprobs	11	0	H2AFZ	1	0.48249151665869894
emissionprobs	11	1	H3K27AC	0	0.9754032686366051
emissionprobs	11	1	H3K27AC	1	0.024596731363394908
emissionprobs	11	2	H3K27ME3	0	0.900264934374647
emissionprobs	11	2	H3K27ME3	1	0.09973506562535296
emissionprobs	11	3	H3K36ME3	0	0.9988043616319477
emissionprobs	11	3	H3K36ME3	1	0.001195638368052326
emissionprobs	11	4	H3K4ME1	0	0.8307987480051627
emissionprobs	11	4	H3K4ME1	1	0.16920125199483727
emissionprobs	11	5	H3K4ME2	0	0.398236263567944
emissionprobs	11	5	H3K4ME2	1	0.6017637364320559
emissionprobs	11	6	H3K79ME2	0	0.982254906517757
emissionprobs	11	6	H3K79ME2	1	0.017745093482243034
emissionprobs	11	7	H3K9AC	0	0.8663081212476246
emissionprobs	11	7	H3K9AC	1	0.13369187875237545
emissionprobs	11	8	H3K9ME3	0	0.9904573431467284
emissionprobs	11	8	H3K9ME3	1	0.009542656853271643
emissionprobs	11	9	H4K20ME1	0	0.997347680494496
emissionprobs	11	9	H4K20ME1	1	0.0026523195055040217
emissionprobs	12	0	H2AFZ	0	0.9696852230110479
emissionprobs	12	0	H2AFZ	1	0.030314776988952078
emissionprobs	12	1	H3K27AC	0	0.9997745035681163
emissionprobs	12	1	H3K27AC	1	2.2549643188373485E-4
emissionprobs	12	2	H3K27ME3	0	0.9876811740902547
emissionprobs	12	2	H3K27ME3	1	0.012318825909745307
emissionprobs	12	3	H3K36ME3	0	0.9986071761269946
emissionprobs	12	3	H3K36ME3	1	0.00139282387300554
emissionprobs	12	4	H3K4ME1	0	0.9985119694683812
emissionprobs	12	4	H3K4ME1	1	0.001488030531618846
emissionprobs	12	5	H3K4ME2	0	0.9996277904345048
emissionprobs	12	5	H3K4ME2	1	3.722095654952728E-4
emissionprobs	12	6	H3K79ME2	0	0.9993863738895669
emissionprobs	12	6	H3K79ME2	1	6.136261104330996E-4
emissionprobs	12	7	H3K9AC	0	0.996649934240622
emissionprobs	12	7	H3K9AC	1	0.0033500657593780662
emissionprobs	12	8	H3K9ME3	0	0.9968862767674146
emissionprobs	12	8	H3K9ME3	1	0.003113723232585299
emissionprobs	12	9	H4K20ME1	0	0.9992350010890011
emissionprobs	12	9	H4K20ME1	1	7.649989109989642E-4
emissionprobs	13	0	H2AFZ	0	0.9910977983329489
emissionprobs	13	0	H2AFZ	1	0.008902201667051038
emissionprobs	13	1	H3K27AC	0	0.9999094812414759
emissionprobs	13	1	H3K27AC	1	9.051875852411151E-5
emissionprobs	13	2	H3K27ME3	0	0.9985594088937793
emissionprobs	13	2	H3K27ME3	1	0.0014405911062207804
emissionprobs	13	3	H3K36ME3	0	0.9995937306341142
emissionprobs	13	3	H3K36ME3	1	4.0626936588582355E-4
emissionprobs	13	4	H3K4ME1	0	0.9998977553604549
emissionprobs	13	4	H3K4ME1	1	1.0224463954521421E-4
emissionprobs	13	5	H3K4ME2	0	0.9998641232728199
emissionprobs	13	5	H3K4ME2	1	1.3587672718009324E-4
emissionprobs	13	6	H3K79ME2	0	0.999801249437249
emissionprobs	13	6	H3K79ME2	1	1.9875056275101352E-4
emissionprobs	13	7	H3K9AC	0	0.9989677764108595
emissionprobs	13	7	H3K9AC	1	0.001032223589140406
emissionprobs	13	8	H3K9ME3	0	0.9826519995771043
emissionprobs	13	8	H3K9ME3	1	0.017348000422895717
emissionprobs	13	9	H4K20ME1	0	0.9997035035467269
emissionprobs	13	9	H4K20ME1	1	2.9649645327314036E-4
emissionprobs	14	0	H2AFZ	0	0.9455450635258624
emissionprobs	14	0	H2AFZ	1	0.05445493647413758
emissionprobs	14	1	H3K27AC	0	0.9910020715844297
